,price
22028,10096
52074,2482
24915,13474
26313,15851
43215,1406
39401,1080
4268,3584
5261,3797
9997,4709
35662,912
46490,526
38883,1055
33655,840
46065,1749
46786,1815
44743,1629
40168,1125
51523,2398
6604,4083
7792,4293
31137,756
41491,504
32512,802
1296,2954
32575,802
47782,1915
24176,12431
48997,2066
43105,1399
16970,6791
18338,617
4667,3673
46592,1796
1026,2905
18962,7823
43980,1559
46688,1809
20146,8637
18140,7370
6018,575
27391,18113
35544,907
5740,3896
35482,906
22590,10688
47112,1842
21417,9557
39513,1084
18475,7548
45730,1716
34023,853
18627,7632
34708,878
5336,3812
4717,573
25922,15185
24620,13034
540,2827
51001,2343
29822,711
47200,1845
48825,537
22935,11039
27225,17760
34499,470
5858,3924
40530,1154
4328,3599
34102,854
5107,3762
27936,658
20779,9050
43610,1438
46345,1777
35812,919
8969,4509
17971,7286
45063,1656
23144,11205
44585,1615
16441,6586
39179,1069
13870,5657
22148,10236
1564,3006
20686,625
24287,12610
20962,9218
53467,552
38370,1031
12276,5219
29817,710
20027,625
23964,12195
33068,816
29965,719
30301,730
20375,8775
44258,1583
29726,709
35682,912
43278,1412
42841,1367
49227,2100
34118,855
14756,5951
50774,2318
2001,3102
43296,1415
50806,2322
35138,894
24884,13398
775,2859
19284,8033
43593,1438
51738,2429
19378,8073
33974,851
34465,871
983,2896
49329,2114
1387,559
27763,651
46888,1819
18803,7725
33393,828
14150,5755
10446,4791
22500,10588
7285,4203
50418,2277
51083,2352
40598,1161
1815,3057
43556,1436
139,2766
21654,626
20021,625
32822,810
9473,4608
48626,2018
14703,5932
35286,899
5915,3942
34453,870
48716,2034
12277,5220
51467,2395
47781,1915
24797,13256
31603,770
30683,740
19633,8282
13533,5554
6580,4081
41624,1244
26818,16819
22645,630
5686,574
22896,10995
1794,3053
22632,629
5531,3856
52893,2604
46915,1821
20399,8794
20986,9236
29497,705
23588,11666
43214,1406
8867,4487
4620,3668
7643,4269
455,2817
12241,5209
14134,5747
50754,2318
16296,6533
35887,921
42813,506
44527,523
10818,4872
11976,5147
12080,5166
26314,15851
23343,631
28843,684
3033,565
20252,8709
41496,504
1613,3013
12246,5211
14649,5924
49633,2161
6169,3994
119,2762
50604,2298
19785,8396
49478,540
19058,7865
13198,5463
47999,1940
2041,561
31156,757
50933,2333
26300,645
36448,945
28160,666
47398,1871
9525,4620
27271,17892
46674,1807
29914,716
50783,2319
16216,6501
32870,461
32346,792
20410,8796
44437,1607
41039,1200
34096,854
5705,575
45724,1715
35872,921
23713,11820
18662,620
32656,803
40844,1180
46957,1826
50333,2267
45079,1656
8707,586
28248,432
26175,15666
1275,2951
10354,4778
25796,14931
15763,6323
16041,6421
2215,3145
46671,1807
42746,1359
2009,3104
20520,8874
52113,2489
26538,16329
26506,16273
15885,6368
27686,648
14218,5773
22858,10951
8637,4455
51829,547
51316,2376
5162,3774
52591,2559
8832,4480
17757,7175
30468,734
24126,12369
35834,920
16811,6720
48880,2052
40805,499
44166,1578
15482,6217
18353,7475
46684,1808
48649,2022
15878,6364
41201,1214
34907,882
44290,1588
8918,4497
26565,16397
19495,8169
28224,432
47744,1912
52840,2594
15670,608
22342,10416
33008,815
22675,10742
25959,645
4170,3556
27058,17313
40440,1151
23847,12012
39222,1073
20153,8637
40533,1154
32268,789
11149,4953
15968,6403
48079,1949
38831,489
40474,498
19022,7847
44392,1601
32752,807
25756,14826
12774,5339
22471,10558
10383,593
21757,9876
14592,5902
51787,2440
871,2872
24103,12336
37920,1010
3580,3422
4709,572
45119,1661
20702,8983
990,2896
22581,10685
51630,2410
17370,6974
25918,15175
122,2762
23496,11560
52359,2526
39804,491
9094,4532
53685,2737
3208,3349
21155,9344
22096,10181
2074,3109
48010,1941
27211,17729
49313,2111
31451,766
45193,1662
23832,11982
50688,2310
28891,435
31377,765
36705,956
31869,452
12325,5231
13626,5589
50133,2239
51812,2442
14722,5939
43177,1402
13128,5443
52523,2550
37100,974
11501,5027
42606,1343
50422,2278
30888,746
52925,2610
23327,631
46254,1764
38439,1034
10843,4876
29699,709
39982,1114
15122,6093
29780,710
1994,3099
21738,9853
11895,5125
24854,13355
51879,2447
10797,4869
36184,477
32619,802
16596,6652
10650,4840
7589,4258
14734,5943
1662,3024
12629,5301
33112,820
52426,2536
9556,4627
48673,2027
30576,737
31062,755
28845,684
6996,4157
26861,16955
52194,2498
45378,1683
4450,3620
53761,2753
16132,6463
28573,435
8099,4351
49001,2067
7057,579
21347,9507
49069,2079
47522,530
53324,2680
42975,1385
24254,12554
38178,487
12459,5255
45723,1715
26374,15970
23670,633
2390,561
1520,2998
13985,5701
37590,994
9747,4662
16985,6796
18906,7790
15801,6335
37524,990
10603,4830
21541,9683
1733,561
43687,1443
48507,537
35107,891
27847,657
48467,1998
44448,1607
37209,979
48557,2009
6934,4144
1871,3073
29314,698
27851,657
43998,1561
13839,5649
28976,687
36414,945
37896,1009
8814,4478
19699,8312
49551,2146
25249,13983
49381,2123
19580,8239
46449,1786
6252,4013
29273,698
41682,1250
52140,2494
11558,5040
3725,569
12378,5235
37139,976
9919,4693
17176,6883
26541,16339
51173,544
15002,605
11858,5113
19103,7906
25166,13824
52803,2593
47151,394
44059,1569
6148,3991
12309,5226
26764,16723
10854,4879
16797,6714
39720,1100
46091,1752
2656,3235
24786,13248
6409,4044
6977,4155
46748,1814
24693,13099
24880,13393
18278,7452
1311,2956
20579,8920
53536,2713
15706,6296
7723,4278
37342,984
31701,773
52019,2474
31650,772
8019,4334
2153,3129
25,354
7842,4306
4952,3734
24263,12573
28359,670
29587,706
19683,8296
31392,765
17078,6827
3250,3358
45392,1684
21361,9519
1149,2923
47531,1882
34205,858
39181,1069
42682,1354
33239,827
48675,2027
51041,2348
34347,864
43819,516
39021,1061
45067,1656
12478,5259
1305,2956
19854,8445
9539,4622
1981,3095
23584,11663
36861,961
1029,2905
6899,4137
42569,1338
14077,5723
1730,561
42456,1330
50968,2338
52844,2594
29941,717
49769,2183
15061,6066
12337,597
27557,18522
12073,5165
26377,15977
2078,3111
48822,537
37014,970
10863,4882
40427,1151
43332,1418
31947,779
43183,1402
36543,948
32377,794
42377,1322
6219,4005
4751,3689
16233,6509
14058,5717
21504,9650
40472,497
4463,3623
3163,3337
9802,4672
24564,12948
29927,716
20038,8556
34680,876
45452,1689
14057,5715
40407,1148
30768,743
30347,730
12063,5163
19625,8276
32859,460
43003,1388
49589,2154
23006,11088
52196,2498
17936,7272
23830,11976
36941,967
53633,2728
45819,1723
19607,8260
1142,2923
7448,4234
49816,540
48452,1995
25281,14042
36612,954
1918,3082
10138,4729
35332,900
37105,974
18392,7496
48934,2060
39715,1098
19591,8252
44714,1626
23622,11722
33388,828
40629,1163
29828,711
13260,5489
38232,1020
30076,720
20705,8988
51661,2416
2168,3135
41389,1235
44489,1608
38339,1028
49074,2080
46251,1764
6864,4130
13559,5559
29720,709
3682,3447
6603,4082
23841,11999
36149,935
9375,4586
21861,9974
48386,1986
22256,10349
26934,17099
1202,2937
33733,843
29132,694
8732,4466
32481,800
3198,3346
20352,625
47630,1895
44677,1624
25742,14792
18798,7722
48993,2066
23805,11950
21995,628
22264,10352
49141,2092
39002,1061
30295,729
382,2811
25773,14859
14137,5748
33025,816
18503,7559
20737,9014
23305,422
5623,3879
25258,13994
2884,3282
5532,3856
8312,4395
45081,1656
36072,929
46176,526
12804,5352
47069,1838
31934,778
5191,3780
27234,17778
4680,3676
3310,3372
43574,1437
2653,3235
42651,1349
27090,17393
32119,788
2733,3248
26097,15474
21046,9260
31420,765
837,2867
12889,5376
2752,3250
27210,17724
51350,2381
3138,3332
17222,6909
45705,1715
23673,633
7403,4227
35034,889
23292,422
10008,416
39209,1071
31733,775
3386,567
32302,791
11166,4956
2435,3185
26773,16736
18239,7424
52553,2553
17589,7098
27852,657
34647,876
16359,6546
37424,988
45956,1740
12880,5376
38817,1053
27238,17803
38436,1034
24307,636
39142,1069
43377,1423
25229,13939
1513,2996
9310,4580
28867,684
6451,4054
4516,3638
9779,4668
13817,5645
24065,12283
33391,828
5092,3759
44058,1569
29947,718
30605,737
51429,2391
361,2806
36363,942
39059,1063
45260,1668
16294,6533
16844,6737
7302,4207
38521,489
49084,2082
30629,738
13063,5421
30748,743
13984,5701
2346,3172
4468,3624
4208,3569
44393,1601
17620,7117
5346,3816
4636,3669
23628,11737
37086,974
42812,506
40547,1155
39787,1104
52859,2596
4472,3625
42419,1326
41356,1232
7714,581
45636,1707
31768,776
43680,1443
21512,9659
52161,548
46515,1787
13827,5645
44620,1620
15112,6089
52027,2475
28791,684
16898,6762
23080,11154
15427,6192
20214,8687
7102,4171
26628,429
34974,886
51716,2426
8980,4512
36411,945
35826,919
3954,3507
5911,3941
32961,814
52962,2616
10695,593
36603,953
45766,1720
49866,2195
10097,4718
48830,537
22974,631
44530,523
32756,807
31797,776
12833,5362
11395,5002
47741,1912
9855,4681
24296,12617
10752,4857
10030,591
34885,880
17735,7160
41319,1229
45884,1727
39671,1095
31697,773
42214,1299
20097,8596
22667,10733
20958,9216
17281,6944
37959,1013
23000,11086
17990,614
17785,7187
25946,15231
1677,3030
21820,9930
92,2757
38432,1033
14655,5926
3915,3497
31531,373
8069,4339
12042,5155
35816,919
32447,799
29431,702
33947,850
53738,2748
27400,18120
3891,3489
2252,3153
13204,5466
48333,1978
2391,561
29976,719
3781,3463
28585,676
1292,2953
38655,1046
5735,3895
89,554
50096,2234
8028,582
47119,1843
13711,5602
21166,9354
28426,673
50261,2257
12660,599
44399,1603
20882,9139
16190,6488
46472,1786
23972,12199
50347,2268
23748,11863
53,404
43078,1397
24684,13085
33897,847
5484,3844
5910,3941
41325,1229
40381,1144
36891,965
51100,2354
27791,652
17381,6981
31393,765
50299,2263
40374,1143
35237,898
310,2800
1886,3075
39812,492
13250,5487
1247,2946
29193,698
41728,1257
48151,1957
53664,2733
52640,2567
49343,2117
46631,1802
875,2873
39372,1079
7623,4267
11277,4981
13633,5593
12245,5211
53001,2623
42780,1363
25830,15011
18270,7443
38522,489
45652,1709
3038,566
40413,1148
52652,2569
31915,777
51201,2363
14508,5871
17804,7197
50235,2250
30057,720
14208,5769
25211,13908
46791,1815
3904,3495
47582,1888
6005,3965
41597,1243
39442,1081
41840,1263
45298,1671
4140,3546
31959,779
39387,1080
27512,18419
32135,789
10573,4824
187,2777
19879,8467
8948,4504
26793,16783
34979,886
4638,3669
43661,1442
24516,12871
35636,911
52534,2551
50706,2312
49345,2117
53243,2663
7355,4221
16899,6763
1712,561
11898,5125
43679,1443
11181,4959
17242,6922
21678,9791
19286,8034
5897,3936
28334,669
24381,12693
22957,11068
18545,7583
580,2834
2236,3146
22514,10618
16207,6499
16572,6636
26794,16783
2547,3208
41205,1215
47189,530
35979,925
29214,436
29972,719
1479,2987
15403,6182
16474,6598
35295,899
47215,1846
17759,7175
13308,5504
8285,4387
18894,7781
19655,624
26552,16368
37363,984
35963,924
38064,1015
17126,6854
53451,2700
42882,1370
47631,1895
52230,2505
35168,895
39120,1068
19970,421
23802,11946
9674,589
31504,367
24894,13421
35639,911
44587,1615
8944,4503
42285,1311
334,2803
8408,4406
51389,2386
81,554
12518,5272
15924,6387
7787,4291
6164,3993
22198,10302
48975,2066
51497,544
45182,524
20920,9176
39924,1112
45102,1659
6138,3990
16431,6580
26486,16231
42389,1323
7794,4294
37719,1002
48940,2061
51773,2437
4970,3739
1066,558
32260,789
32297,790
47393,1871
52135,2493
30398,732
24676,13074
27179,17634
50195,2243
16036,6418
37056,972
41581,1243
21726,9836
8190,4369
31350,764
45434,1689
52691,2574
21152,9343
12908,5384
15435,6196
2834,3270
5238,3791
43499,1433
39733,1100
13801,5638
3294,3369
27427,18186
44660,1624
25527,14426
27508,18398
37961,1013
14989,6048
32194,453
46960,1826
30943,749
26695,16570
23030,11109
2931,3292
12776,5341
41096,1207
16336,608
14154,5757
29982,720
29653,707
45257,1667
21299,9486
52513,2549
19764,8371
53732,2745
38166,386
38912,1056
51908,2452
48117,1954
9827,4676
16546,6623
20404,8794
32742,806
13804,5639
42587,1340
16268,6526
34715,878
47611,1892
34407,868
51373,2385
25753,14817
1729,561
28175,666
53056,2633
29787,710
39108,1067
48720,2034
50685,2309
17722,7153
38984,1061
35902,921
30934,749
45207,1664
53656,2732
38028,1013
26176,15671
34061,854
48185,536
34863,471
4177,3559
7937,4321
24493,12839
49260,2105
3254,3359
4910,3726
19979,421
6593,4082
44978,1651
5859,3924
34123,855
26396,15996
47079,1838
32452,799
18036,7303
11798,5096
6278,4021
51481,2396
19910,8499
5513,3852
20112,8610
22865,10959
29917,716
29868,445
17250,6926
8671,4459
16951,6786
15390,6177
28019,662
17489,7056
53313,2677
47,403
16325,608
22835,10929
31540,450
21611,9756
24010,12209
13064,5421
38519,489
12310,5226
12983,5408
39453,1082
28154,666
32044,784
36959,968
41915,1268
15171,6108
49887,2198
39011,1061
9876,4685
17011,612
44598,1617
17048,6814
42117,1292
5076,3754
25160,13818
42550,1337
44600,1617
46239,1762
10281,4761
15347,606
28079,665
31936,778
43283,1413
35263,898
26185,15690
25980,645
1540,3002
2958,3297
45248,1667
53156,552
18148,7372
23480,11538
21717,9828
3013,3307
20037,8555
31631,771
42170,1294
18136,7369
12085,5166
33636,839
37283,982
16917,6773
21284,9474
42949,1379
48353,1981
49622,2160
18980,620
35939,923
36240,936
27908,658
40656,1168
29922,716
26931,17095
38848,490
22839,10931
44319,1592
22799,10887
51281,2373
33534,463
51742,2429
25916,15169
44146,1577
8425,4412
5291,3802
20292,8736
10323,4769
10285,4763
30772,743
5357,574
27231,17772
17844,7218
5331,3812
8731,4466
34002,852
22550,10655
45943,1737
32219,456
40484,498
29085,693
22535,10639
15018,605
18700,7657
50254,2255
37240,982
6187,3998
17646,7130
2938,3293
1366,2965
45318,1675
44543,1610
12320,5228
37041,972
49832,541
20850,9116
48788,2042
41747,1257
980,2895
35405,904
12914,5386
28574,435
35480,906
26112,15509
21987,628
14607,5912
38532,1040
28721,682
26131,15544
9041,4516
3058,3311
9021,587
19119,7918
47095,1841
52696,2575
36521,478
18464,7539
40336,1140
4238,3578
7728,4279
53238,2662
5160,3773
8612,4449
37658,999
18002,614
30718,742
4066,571
48863,2051
14228,5775
9003,4515
44065,1569
16609,6654
27227,17760
14754,5950
38631,1044
8416,4407
23933,12150
14827,5986
790,2861
53273,2670
51613,2406
39505,1084
31943,778
30287,729
34125,855
17639,7127
31328,764
3069,3312
33306,828
50672,2307
19666,625
34590,873
39521,1086
47557,1883
20408,8796
35376,902
53740,2749
16996,6804
25644,644
45526,1694
49276,2107
11699,596
53260,2668
38823,489
38760,1050
1897,3079
22478,10568
45973,1743
32028,783
19621,8271
46372,1779
8141,4361
42322,1316
11513,5028
31101,756
32904,812
5980,3957
52584,2558
43891,1546
34007,852
43131,506
5838,3920
5485,3844
50930,2333
6897,4137
19295,8039
14204,5768
20046,8564
51147,2360
29111,694
30422,732
19392,8081
13648,5598
27550,18500
35879,921
5669,3886
14914,6019
26446,16130
42734,1358
36678,956
23463,11523
18410,7504
2876,3279
14884,6005
31307,763
9082,4528
20694,8977
32494,801
6117,3985
4085,3535
6826,4123
30762,743
34463,871
38535,1040
19068,7877
31525,369
23658,632
39457,1082
39742,1102
47000,1831
38925,1057
25578,14519
7954,4324
25695,14699
47527,531
1931,3084
8447,4414
20185,8658
30871,449
25589,14542
7752,4284
5986,3959
28005,661
1953,3087
27113,17451
48025,1943
7362,4223
31424,765
12538,5278
18082,7336
41595,1243
38329,1027
48343,1980
48165,534
52368,2527
53421,2696
35922,923
24033,12231
88,554
39100,1066
22136,10221
18451,7528
46948,1824
29103,694
47520,530
33046,816
24445,12779
50533,2287
17969,7283
39217,1073
38913,1056
43378,1423
38813,1053
13011,600
30732,743
41845,1263
44092,1572
8840,4481
16734,6681
49206,2096
45514,525
50714,2312
12412,5242
34360,865
40272,1133
10257,4754
39415,1080
23008,11089
38907,1056
27440,18215
12611,5293
44592,1616
28685,680
46058,1749
21567,9705
53275,2671
33559,834
5066,3751
13925,5678
45612,1702
8033,583
4653,3670
13316,5506
20665,625
22992,11075
85,554
7539,4249
52407,2535
36771,958
31916,777
32417,798
49035,2074
13277,5497
40604,1162
29704,709
17636,7127
42630,1345
25285,14057
3091,3321
42148,505
21671,628
3941,3504
15743,6315
16963,6787
36300,942
42213,1299
41364,1232
20816,9078
47983,1939
40638,1166
23101,11169
21916,10032
53613,2724
51255,2369
25953,644
22921,11021
48715,2033
30861,449
33183,462
35949,924
42860,1368
18315,7467
3264,3360
7317,4210
33596,838
26124,15529
16961,6787
13101,5433
47858,1919
16836,6733
47344,1863
29702,709
47736,1911
9579,4632
45959,1740
45872,1726
1229,2942
18695,7654
35655,912
8651,4455
7668,4274
35042,889
3176,3342
7863,4309
9774,4666
29311,698
32912,813
37560,992
9150,4543
19735,8347
12162,5186
34410,868
40602,1162
30037,720
47724,1911
19645,624
26271,15840
17447,7024
35785,918
321,2801
28846,684
7010,4158
15570,6261
53511,2706
16777,6708
42370,1321
3383,567
10959,4912
20902,9158
44347,1597
39268,1076
28166,666
38873,1054
8610,4449
37709,1002
9248,4562
2140,3125
34344,864
38435,1033
35355,900
25026,13606
7223,4195
19696,8305
46354,1778
39052,1063
33014,816
44526,523
32013,781
1530,3000
32682,803
2929,3291
5799,3913
30839,745
11204,4964
26781,16776
6754,4108
26874,16987
12902,5383
3508,3404
25539,14451
5358,574
25248,13978
10320,4769
35881,921
9704,4654
15820,6343
38473,1036
28303,668
44959,1647
30033,720
7834,4304
34437,868
45507,525
13681,603
53046,2633
21052,9265
48837,537
18304,7465
19026,7848
51446,2393
23250,11335
31268,760
41454,388
20492,8858
25581,14527
16168,6479
11405,5004
35327,900
29112,694
16161,6473
29618,707
4061,571
24528,12891
20818,9081
298,2797
39514,1084
35000,886
18481,7550
20135,8629
20374,8774
12839,5364
25413,14239
6281,4022
42141,505
23861,12035
34868,472
52614,2562
2498,3199
43783,513
48559,2009
36120,933
22573,10680
1338,2961
293,2797
23751,11867
34936,882
4072,3531
16153,6470
13522,5551
51967,2462
42293,1312
30647,739
33169,825
38732,1050
17925,7260
30147,723
28824,684
11626,5055
44642,1622
30679,740
23141,11200
27069,17338
51244,2368
4916,3730
10546,4817
49344,2117
43346,1420
18123,7364
21403,9548
30901,746
37740,1002
45247,1667
46089,1752
46845,1816
11567,5042
9016,587
380,2810
7713,581
12188,5195
10747,4855
31019,753
42217,1300
39566,1088
53540,2715
50977,2339
12954,5396
53686,2737
33075,817
11355,596
40453,1153
30135,723
50486,402
8186,4369
38056,1014
52397,2532
33622,838
36682,956
32387,795
53257,2668
14826,5986
52705,2576
44322,1593
19700,8313
42362,1320
19361,8062
37323,984
43724,1449
9152,4543
6071,3972
49749,2177
11462,5017
53132,2650
15842,6351
28773,683
30179,725
41953,1273
35683,912
49649,2163
31787,776
50838,544
9328,4584
8355,583
21848,9961
42010,1280
44878,1637
6343,4036
20736,9014
1610,3013
25182,13849
47647,1897
50921,2332
38235,1020
41442,1238
43627,1439
31339,764
2112,3119
9954,4703
14594,5904
33470,830
48621,2017
8978,4511
38421,1033
27148,17545
31488,767
26581,16427
39163,491
48502,537
6058,3968
16435,6582
36349,942
38941,1059
45848,526
39145,1069
29031,689
6510,4068
24629,13047
20931,9188
37645,998
28159,666
46581,1793
42490,505
25902,15145
20382,8779
37757,1004
5814,3916
14451,5850
50695,2310
52617,2562
7218,4194
13931,5684
31080,755
39865,1107
7542,4250
14223,5775
39853,1107
2926,3290
12107,5172
2697,562
9382,4586
43780,513
53632,2728
11198,4963
39714,1098
24580,12971
6384,4038
30046,720
28816,684
43153,507
34000,852
38738,1050
459,2817
10560,4821
17623,7119
7074,4165
3082,3316
34852,471
20402,8794
12921,5387
14907,6019
18537,7577
46285,1769
47486,1882
28524,675
19892,8485
22790,10874
31535,450
16452,6588
34475,871
5327,3811
19832,8427
28168,666
22600,10696
13364,602
3353,405
6327,4032
45086,1656
37638,998
52406,2535
42154,505
32364,793
31935,778
17444,7022
1385,559
9547,4624
5963,3951
11367,596
35795,918
27175,17609
19986,421
21616,9759
26232,15792
45296,1670
933,2883
31198,450
32947,814
12832,5362
44762,1629
8217,4373
49644,2162
41549,1240
8324,4398
38569,1041
3410,568
49918,2202
25484,14368
113,2762
6777,4114
2771,3254
11784,5091
10370,593
33694,842
7651,4271
16949,6785
50154,544
3511,3405
43165,1401
17784,7187
3119,3326
38702,1047
27530,18445
21603,9740
19698,8311
8237,4377
11964,5146
37862,1007
10697,593
2320,3169
41725,1255
22349,10424
12782,5344
3122,3326
36892,965
31620,770
34358,865
12434,5249
14900,6013
49262,2106
43901,1547
30617,737
43670,1443
40751,1176
44639,1622
32704,804
21391,9541
895,2875
22832,10927
46731,1813
34769,878
10090,4717
1830,3061
28711,681
22142,10225
7241,4198
39259,1075
4728,3680
38219,1020
11856,5112
49203,2096
24388,12700
34882,880
30918,748
44671,1624
29791,710
13962,5697
36927,967
41726,1256
41575,1242
17243,6922
3921,3499
34298,863
26682,16544
31364,765
13166,5455
53008,2623
39436,1080
25327,14071
46009,1746
42069,1287
32077,787
1351,2964
24777,13229
42113,1292
104,2760
29208,436
45404,1687
36094,931
21980,628
4825,3709
49705,2170
14830,5987
10730,4853
38630,1044
4972,3739
22583,10685
18612,7617
28476,675
43866,394
45431,1689
51901,2451
24132,12377
24830,13317
1459,2980
51384,2386
49921,2202
23400,11442
5083,3755
15315,6163
49248,2104
8575,4440
50886,2329
48139,1956
41937,1272
18363,7479
1494,2992
50831,544
41436,1237
31121,756
53002,2623
14796,5973
4929,3732
16819,6727
51746,2430
32288,790
50536,2288
15473,6213
50643,2304
16595,6652
41238,1220
39593,1090
5330,3812
17099,6838
12068,5164
17885,7240
16846,6738
23575,11651
32181,789
46808,1815
5427,3830
2519,3204
29939,717
40351,1141
2318,3168
31136,756
4984,3741
20084,8590
18929,7808
47051,1837
996,2897
14466,5855
32802,810
27036,17245
6037,576
20971,9229
15252,6134
4502,3634
16255,6518
22570,10671
28126,666
21454,9596
38148,382
51284,2373
17484,7051
18396,7500
51748,2431
30747,743
3362,407
33965,851
45692,1712
42208,1298
47644,1897
50900,2330
43465,507
24221,12506
9418,4592
20643,8969
28579,675
31015,753
16686,610
44302,1590
47403,1872
39285,1076
48719,2034
12071,5164
17547,7079
35731,915
50383,2274
24314,637
13630,5592
9858,4682
7387,579
37152,480
2556,3210
32846,811
38474,1037
12715,5319
28863,684
38321,1026
42848,1367
3701,3451
50012,2216
43544,1436
8215,4373
43635,1440
49869,2196
25440,14293
41278,1225
23269,11365
49352,2117
15527,6239
40126,1125
10031,591
32655,803
6636,4092
43868,394
25930,15198
30643,738
12135,5179
39249,1074
22710,10778
50595,2297
5309,3806
21275,9471
1103,2913
53349,2683
8555,4435
16798,6715
9898,4690
783,2860
16343,6541
35677,912
49046,2075
50089,2232
2521,3205
37060,972
26843,16914
48607,2016
21503,9648
34446,869
9778,4668
2932,3292
7620,4266
29479,705
19813,8414
21610,9756
22565,10666
14942,6032
19032,7848
18042,7308
10432,4788
6462,4056
1255,2947
50378,2274
46478,1787
36804,961
2280,3160
13754,5620
37944,1013
51348,2381
40064,1120
53641,2729
51141,2360
26700,16582
8187,4369
20697,8979
52858,2596
28726,682
31412,765
11684,596
3730,570
11045,4921
26833,16881
47206,1845
38242,1021
11598,5050
9345,589
30458,734
45194,1662
31245,759
23573,11650
17228,6913
24864,13369
30233,726
52437,2538
49464,2138
49790,2185
17647,7130
28676,680
46953,1825
53462,2702
8622,4452
1330,2961
3887,3489
9512,4618
33360,828
28580,675
7545,4250
23543,11613
44692,1624
751,2856
46238,1761
29487,705
36655,956
26448,16137
15931,6390
37445,988
25948,15238
15568,6260
14089,5728
40045,1117
25243,13963
22073,10147
13106,5436
14918,6022
40357,1141
11775,5089
5575,3864
28283,667
16136,6465
46578,1793
50305,2264
7931,4320
7476,4239
39202,1071
23242,11323
19134,7928
36669,956
10501,4805
20555,8903
12600,5292
19092,7900
27479,18318
40691,1170
13021,5410
46905,1819
26217,15760
23892,12081
47067,1838
48044,1945
13208,5469
1660,3024
33549,833
8119,4355
20026,625
20139,8630
21707,9820
42328,1316
41525,1239
3848,3478
43569,1437
50161,544
8985,4513
4945,3734
4266,3584
5108,3762
32770,808
21582,9718
13834,5646
16936,6779
6127,3989
7864,4309
16367,6549
3687,3448
46241,1762
28563,434
44351,1597
40917,1188
40894,1187
26577,16420
24333,638
24167,12417
10260,4755
13492,5544
3047,566
20885,9139
29526,706
51992,2468
39300,1076
29184,698
40790,1179
12607,5292
33693,842
41703,1253
5016,3749
2371,561
33835,844
16221,6503
31298,763
14117,5740
45122,1662
53631,2727
9708,4656
10888,4890
35437,906
12148,5183
32104,788
8067,4338
26670,16507
51434,2392
22071,10145
53594,2723
14917,6021
14392,5824
28406,672
46676,1808
127,2763
27969,659
26982,645
28058,664
21350,9513
45306,1672
43728,1449
30775,743
47227,1847
6657,4098
10359,593
49119,2088
14879,6002
33600,838
26952,17143
4349,3604
47158,394
26225,15773
4038,3530
41264,1222
841,2868
31995,781
27166,17597
41600,1243
19062,7870
4977,3740
35624,911
4565,3649
38481,1038
38457,1035
52629,2564
40433,1151
52099,2487
32306,791
13144,5447
30650,739
27017,17213
4406,3611
10876,4885
3456,3392
44881,1637
9897,4689
25660,14626
49579,2150
27325,17938
45491,1693
51399,2386
37092,974
42081,1289
40089,1123
11106,4939
49671,2166
19543,8213
15011,605
23686,11790
41326,1229
17034,6806
28322,668
17605,7108
25771,14855
21422,9565
21813,9921
27316,647
6679,408
52552,2553
15308,6159
44577,1614
11540,5037
43941,1553
46450,1786
23779,11912
14351,605
53449,2699
37625,997
29884,446
32146,789
33780,844
52294,2513
24539,12907
23311,424
32460,799
31867,452
2471,3193
48352,1981
49638,2161
7026,4162
24084,12308
34596,873
53582,2721
1455,2979
40854,1181
22087,10165
29773,710
48890,2054
39771,1103
47541,1882
23200,11262
21867,9980
10580,4826
4309,3595
25077,13691
17935,7270
19150,7943
20845,9108
36334,942
8387,4401
4312,3597
10714,594
22613,10709
38234,1020
19766,8373
10080,4715
8664,4458
41808,1263
8688,586
25141,13790
4320,3599
37578,993
43893,1546
20606,8940
10551,4819
17028,612
43548,1436
29667,708
1201,2937
19530,8202
40302,1136
49739,2177
28008,662
2724,3246
19148,7942
31800,776
35267,898
41070,1204
2406,3180
36485,946
18563,7589
5300,3804
782,2860
31336,764
11215,4966
44780,1631
8898,4496
17511,7063
36440,945
8038,583
7346,4218
35331,900
15163,6105
16792,6713
23971,12196
48437,1993
42575,1339
27493,18364
30639,738
21178,9370
38564,1041
45782,1721
27393,18115
10882,4887
4350,3604
35868,920
15243,6132
50824,2326
12304,5226
2492,3198
40332,1140
3655,3443
41232,1219
4869,3716
24449,12787
38864,1053
19075,7882
44697,1624
23537,11605
50895,2329
7922,4318
35621,911
22697,10766
46014,1746
9653,4648
16537,6619
12357,598
40799,499
43825,517
45553,1697
39591,1090
49714,2171
26789,16778
19379,8074
32827,810
29718,709
25764,14842
25292,641
4287,3590
11965,5146
34167,465
4744,3689
15415,6186
12016,596
45822,1723
27379,18077
12234,5207
15638,6288
23701,11804
9723,4659
39729,1100
33029,816
4007,3520
24989,641
28567,434
1254,2947
17439,7018
35541,907
22215,10314
23014,11096
19204,7979
28471,675
53066,2635
31400,765
46756,1814
36369,943
24961,13554
41292,1227
19736,8347
23372,11417
41962,1274
28954,687
21337,626
36675,956
9601,4637
11621,5055
45448,1689
6263,4016
50717,2313
43058,1393
172,2774
5479,3842
11815,5100
39468,1084
36057,929
7875,4312
27149,17548
42284,1311
49750,2177
41686,1250
40335,1140
48867,2051
28675,680
3448,3389
38426,1033
22985,631
4625,3669
41231,1219
35021,887
13340,419
32653,803
